country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Guatemala,53.2,53.2,53.2,53.2,53.2,53.2,55.6,50.6,50.6,50.7,52.6,47.7,49.5,47.7,47.7,49.5,49.5,47.7,46.2,48.5,48.7,48.7,45.7,45.7,45.7,45.7,45.7,45.5,45.5,45.5,45.7,44.3,44.1,44.1,44.1,46.3,45.7,45.7,49.3,50.5,52.3,52.3,57,56.1,49.3
Honduras,37.2,37.2,37.2,33.3,33.3,37.2,42,43,43,41.4,41.6,41.6,41.6,41.6,41.6,43.9,42.9,44.4,44.3,44.3,44.3,43.2,42.9,42.9,45.9,45.9,45.7,45.7,45.7,45.7,45.7,44.8,44.8,44.8,44,41.8,42.6,43.3,42.1,42.1,38.3,38.3,39.5,37.3,39.9
Croatia,,,,,,,,,,,,,,,,,40.3,39.7,39.7,39.7,39.7,39.7,40.5,40.5,41,54.5,56.2,56.2,56.2,56.2,56.2,56.2,56.2,55.9,55.9,60.2,60.2,60.2,55.4,55.4,55.4,54.1,55.4,54.5,55.5
Haiti,14,14,14,14,14,14,13.7,15.7,15.7,13,15,17.4,30.8,32.4,32.4,30.8,28,22.3,22.3,26.5,37.8,37.7,37.7,37.2,37.2,37.2,37.2,37.2,37.2,28.8,27.6,35.2,39,39,37.9,28.5,29.2,30.6,26.5,26.5,26.5,29.1,29.9,31.1,29.9
Hungary,42.6,42.6,42.6,42.6,42.6,42.6,41.4,41.4,41.4,42,43.6,43.6,43.6,43.6,45,68.8,69.9,69.9,69.9,69.9,69.9,70.4,70.4,70.4,70.4,69.4,69.4,69.4,69.4,69.4,66,69.3,69.3,69.3,68.3,63,63,58.8,58.7,58.7,58.7,58.7,57.7,57.1,57.1
Indonesia,9.88,9.88,9.88,9.88,9.88,9.88,9.63,12.5,12.5,8.66,12.5,12.5,9.65,12.5,12.5,9.65,9.65,10.4,10.8,10.8,10.8,10.8,10.8,9.65,52.9,56.3,56.3,56.3,56.7,56.7,57,57.9,57,57,57,61.5,58,58,54.5,54.5,58.4,58.4,58.4,57.8,55.6
India,48.7,47.3,47.3,55.3,55.3,55.3,55,56.3,56.3,54.5,54.5,54.5,55.8,54.5,54.5,55.6,55.6,56,56,56.4,59.5,60.1,60.1,60.1,60.1,60.1,58.9,58.9,58.9,58.9,58.9,58.9,58.9,58.9,58.9,58,58,58,58,58,56.5,56.5,55.9,55.9,52.5
Ireland,87.9,87.9,87.9,87.9,87.9,87.9,84.3,80.2,80.2,79.9,79.9,78.4,79.9,79.9,79.9,78.5,82.3,82.3,82.3,82.3,82.8,82.8,82.3,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,82.8,84.5,89.5,86.5,86.5,89.5,89.6,92.8
Iran,32.2,32.2,32.2,32.2,37.5,34.8,34.1,34.1,27.5,26.9,28.8,28.8,27.2,28.4,28.4,26.9,27.2,27.7,28,28.2,28.2,28.2,27.2,28.3,26,26,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8,25.8,26.6,26.6,26.6,24.1,25.5,26.8,26.8
Iraq,47.4,47.4,47.4,47.4,47.4,47.6,47.6,50.3,50.3,46.1,46.1,46.1,46.1,46.6,45,43,43,43,40.8,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,41.2,45.6,49.5,44.9,46.3,44.9,46,45,43.5,43.5,43.5,43.5,43.5,43.5,43.5,44.9,44.9,45.3
Iceland,80.1,80.1,80.1,80.1,80.1,80.1,80.3,80.3,80.3,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,80.8,81.8,79.5,79.5
Israel,63.3,64.3,64.3,64.3,64.3,64.3,65,63.4,63.4,64.3,61.2,61.4,62.8,61,62.5,62.5,62.6,63.6,63.6,63.6,63.6,63.6,62.1,62.1,62.1,62.1,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.6,63.7,63.7,64.9,62.4,60.9,62.4,62.4
Italy,60.2,60.2,60.2,60.2,60.2,60.8,61.5,61.5,61.5,61.8,61.8,61.8,61.8,61.8,61.8,64.9,64.9,64.9,64.9,64.9,64.9,65.2,65.2,65.2,65.2,65.2,65.2,65.8,66.7,66.7,67,65.7,64.4,64.4,65.7,65.7,65.7,64.4,64,64,64,64,64,63.5,63.5
Jamaica,69.7,69.7,69.7,69.7,69.7,69.7,70.2,70.2,70.2,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.5,69.7,69.7,69.7,69.7,69.7,69.7,69.5,69.5,69.5,69.5,69.5,69.5,69.5,68,69.5,69.5,68,68,68,68,66.6,66.6,66.6,66.6,73.7,70.1,69
